Name,Job Role,Skills,Education
12202337.pdf,ACCOUNTANT,"Reports, Engineering, Ordering, Spreadsheets, Reconciliation, Investigations, Financial reporting, Excel, Governance, Compliance, Rest, Policies, Communication, Budgeting, Financial analysis, Reporting, Pivot tables, Pivot, Quality control, Statistics, Ms excel, Financial management, Portfolio management, Negotiation, Accounting, Analytical, Finance, Administration, English, Microsoft office, Database, Word, Time management, Money, Risk management, Analysis, Research, Strategy, System, Forecasting, Migration","Bachelor of Science : Medical Technology, Master of Business Administration"
15289348.pdf,ACCOUNTANT,"Reports, Documentation, Process, Health, Reconciliation, Quickbooks, Excel, Deposits, Policies, Requests, Writing, Variances, Reporting, Operations, Sales, Pivot, Sharepoint, Oracle, Portfolio management, Filing, Tax, Access, Accounting, Finance, Analytical, Administration, Auditing, Microsoft office, Database, Word, Improvement, Mining, Payments, Money, Receivables, Payroll, Analysis, Research, Gaap, Queries, Legal, Peoplesoft, Api, Powerpoint",MBA
28298773.pdf,ACCOUNTANT,"Sap, Reports, Documentation, Process, Health, Transactions, Quickbooks, Reconciliation, Spreadsheets, Excel, Compliance, Policies, Expenses, Schedule, Variances, Reporting, Sales, Pivot, Inventory, Banking, Tax, Access, Accounting, Finance, Administration, International, Internal audit, Invoices, Microsoft word, Word, Vendors, Schedules, Budget, Analysis, Training, Gaap, System, Payments, Audit, Powerpoint",Bachelors of Business Administration
29821051.pdf,ACCOUNTANT,"Reports, Marketing, Process, Documentation, Transactions, Due diligence, Kpis, Financial reporting, Excel, Compliance, Policies, Communication, Controls, Budgeting, Trade shows, Operations, Reporting, Variances, Sales, Pivot tables, Pivot, Financial statements, Financial management, Oracle, Metrics, Banking, General ledger, Accounting, Finance, Auditing, Presentation, Word, Regulatory, Schedules, Journal entries, Money, Budget, Networking, Analysis, Training, Regulatory requirements, Modeling, Supervisor, System, Reconciliation, Audit",Bachelor of Science : Accounting
53640713.pdf,ACCOUNTANT,"Real estate, Reports, Documentation, Marketing, Process, Transactions, Cash flow, Updates, Reconcile, Expenses, Policies, Compliance, Raw materials, Photography, Budgeting, Operations, Reporting, Analyze, Financial statements, Bank reconciliation, Consulting, Inventory, Banking, Filing, Accounts payable, Tax, Retail, Accounting, Finance, Administration, Auditing, International, English, Invoices, Installation, Brand, Payments, Journal entries, Payroll, Erp, Analysis, Strategy, Travel, Merchant, Forecasting, Design, Reconciliation, System, Audit",Bachelors of Commerce (B.com)
87635012.pdf,ACCOUNTANT,"P, Sap, Reports, Documentation, Process, Transactions, Reconciliation, Investigations, Due diligence, Excel, Reconcile, Compliance, Policies, Controls, Expenses, Sql, Schedule, Reporting, Sales, Financial statements, Testing, Advertising, Metrics, Internal controls, Inventory, Tax, General ledger, Accounting, Finance, Administration, Schedules, Journal entries, Budget, Forecasts, Analysis, Conversion, Training, Billing, Gaap, Peoplesoft, System, Payments, Audit","Bachelor of Business Administration, Master of Business Administration"
10659182.pdf,ADVOCATE,"Psychology, Teaching, Operations, Health, Scheduling, Process, Beverage, Hotel, Hospital, Inventory, Cpr, Policies, Communication","Bachelor of Arts , Psychology /minor Social Work 2012 GOVERNOR STATE UNIVERSITY ï¼​ City , State Psychology /minor Social Work
Associate of Science , Psychology"
13342150.pdf,ADVOCATE,"Reports, Health, Process, Ordering, Regulations, Excel, Compliance, Policies, Communication, Budgeting, Operations, Reporting, Sales, Correspondence, Retention, Phone calls, Inventory, Access, Quality assurance, Windows, Scheduling, Data collection, Word, Responses, Safety, Payroll, Analysis, Training, Queries, Supervisor, Design, Quality standards, Customer service, Powerpoint",Bachelors of Arts 2011 Harrington College of Design
13809698.pdf,ADVOCATE,"Reports, Hospital, Excel, Compliance, Policies, Statistical analysis, Therapeutic, Reporting, Quality control, Healthcare, Testing, Inventory, Technical, Administration, Windows, Quality assurance, Microsoft word, Word, Safety, Payroll, Mobile, Analysis, Powerpoint",MBA
14064815.pdf,ADVOCATE,"Teaching, Reports, Documentation, Health, Plan, Regulations, Hospital, Excel, Compliance, Communication, Psychology, Requests, Pivot tables, Pivot, Correspondence, Healthcare, Ms excel, Consulting, Negotiation, Filing, Analytical, Scheduling, Coding, Troubleshooting, Word, Email, Analysis, Research, Billing, Powerpoint, Researching","Bachelor of Science - Psychology East Stroudsburg University of PA // City , State // 2007 Psychology, Master of Chiropractic - Life University // City , State // 2013"
19108760.pdf,ADVOCATE,"Prospecting, Teaching, Marketing, Health, Plan, Presentations, Hospital, C, Case management, Sales goals, Communication, Sales experience, Sales, Business development, Healthcare, Testing, Negotiation, Analytical, Administration, Fulfillment, Presentation, Database, Matrix, Relationship building, Six sigma, Human resources, Hardware, Analytical skills, Risk management, Budget, Product management, Research, Public relations, Training, Market research, Legal, Strategy, Design, Project management, Customer service, Change management","Master of Public Administration, Master of Administrative Science : Human Resource Administration FDU, Bachelor of Arts"
22391901.pdf,ADVOCATE,"Interactive, Retail, Networking, Warehouse, Operations, Technical, Sales, Transactions, Coaching, Training, Supervisor, Merchandising, System, Customer service, Inventory, Sales goals, Time management, Communication","Bachelors of Science , Physical Education"
23577836.pdf,ADVOCATE,"Schedule, Microsoft office, Documentation, Operations, Scheduling, Ordering, Sales, Transactions, Quality assurance, Billing, Correspondence, Vendors, Database, Testing, Visual, Filing, Communication","Bachelor of Science : Criminal Justice City , State , US, Bachelor of Arts, Bachelor of Arts : Criminal Justice City , State , US"
24754689.pdf,ADVOCATE,"Teaching, Reports, Health, Plan, Spreadsheets, Visual, Compliance, Writing, Operations, Sales, Correspondence, Engagement, Inventory, Retail, Administration, Workflow, Regulatory, Responses, Schedules, Money, Research, Training, Legal, Supervisor, System, Payments, Customer service",Bachelor's Degree : Business Administration
25873425.pdf,ADVOCATE,"Reports, Documentation, Health, Investigations, Regulations, Deposits, Cpr, Policies, Communication, Psychology, Schedule, Investigate, Operations, Chemicals, Healthcare, Windows, Database, Safety, Training, Legal, System, Payments, Security",Bachelor of Science : Psychology
27182111.pdf,ADVOCATE,"Admissions, Reports, Process, Ordering, Health, Transport, Hospital, Cpr, Compliance, Policies, Communication, Schedule, Protocols, Operations, Reporting, Phone calls, Inventory, Scheduling, Coaching, Certification, Budget, Training, Supervisor, Pharmacy","Bachelor of Science : Nursing, BACHELOR OF SCIENCE"
28974459.pdf,ADVOCATE,"Health, Process, Transactions, Regulations, Hospital, Excel, Cpr, Compliance, Communication, Schedule, Operations, Sales, Healthcare, Filing, Retail, Access, Technical, Positioning, Administration, Coding, Scheduling, Auditing, Word, Data entry, Training, Billing, System, Customer service, Powerpoint",Medical Assistant Certificate Medical Assistant
29926588.pdf,ADVOCATE,"Documentation, Health, Ordering, Spreadsheets, Excel, Communication, Psychology, Writing, Sales, Public health, Statistics, Healthcare, Inventory, Tax, Administration, Microsoft word, Word, Data entry, Research, Legal, Investigation, System, Customer service, Audit, Powerpoint",Bachelors of Arts Degree : Psychology/Social Science HealthCare Administration
30741799.pdf,ADVOCATE,"Psychology, Fitness, Reports, Documentation, Health, Analysis, Reporting, Research, Training, Risk assessments, System, Schedules",Bachelor of arts
38860712.pdf,ADVOCATE,"Budget, Reports, Analytical, Therapeutic, Health, Reporting, Process, Training, Risk assessments, Contracts, Cpr",Bachelor of Criminal Justice University of Oklahoma
44115326.pdf,ADVOCATE,"P, Reports, Documentation, Process, Engineering, Cisco, Java, Dns, Microsoft sharepoint, Data center, Cloud, Programming, Sql, Web services, Policies, Communication, Writing, Requests, Distribution, Operations, Protocols, Operating systems, Logging, Ibm, Oracle, Sharepoint, Testing, Ux, Computer science, Linux, Access, Administration, Technical, Windows, Architecture, Troubleshooting, Scheduling, Db2, System administration, Database, Vendors, Change management, Installation, Os, Email, Hardware, Vmware, Schedules, Xml, Redhat, Aws, Networking, Automation, Solaris, Servers, Dhcp, Shell, Perl, Analysis, Unix, Lan, Active directory, System, Design, Migration, Sql server, Scripting, Debugging, Security",B .S : Computer Science B .S (Computer Science )
53169257.pdf,ADVOCATE,"Sports, Reports, Health, Hospital, C, Sci, Communication, Schedule, Distribution, Operations, Wheel, International, Administration, Electrical, Chemistry, Fitness, Analysis, Research, Training, Supervisor, Project management, Logistics",Bachelor of Science
11676151.pdf,AGRICULTURE,"Reports, Documentation, Health, Engineering, Pmp, Excel, Programming, Deposits, Pelican, Website, Communication, Protocols, Ibm, Statistics, Testing, Access, Html, Microsoft office, Technical, Troubleshooting, Adobe, Database, Word, Installation, Hardware, Certification, Analysis, Training, Lan, Active directory, System, Design, Payments, Powerpoint",Bachelor of Science : Computer Information Systems Telecommunication Systems Support
14140903.pdf,AGRICULTURE,"Teaching, Interactive, International, Analytical, Health, Analysis, Research, Prototype, Healthcare, Biology, Visual, Content, Safety, Communication","Master of Science, Bachelor of Agriculture : Animal Nutrition"
15603319.pdf,AGRICULTURE,"Microsoft office, Analytical, Technical, Analysis, Experimental, Chemicals, Research, Data collection, Training, Presentation, Design, Biology, Inventory, Green, Statistical analysis, Communication","Master of Science : Entomology - Qualifying, Bachelor of Science : Environmental Science"
